Pathway	0010_07-09-16	0354_01-10-17	0677_08-19-17	0904_07-10-17	0963_05-23-17	1203_01-23-17	1320_03-23-16	1593_09-12-17	1709_09-19-17	1894_04-24-18	1985_06-07-16	2045_08-21-17	2409_08-02-16	2651_11-22-16	3227_08-15-17	3315_06-07-16	3321_03-08-16	3329_11-01-16	3369_08-07-18	3545_12-13-16	3660_09-20-16	3836_02-27-17	3898_12-27-16	3899_06-13-18	3921_07-18-17	3955_08-25-17	4018_01-05-16	4100_01-03-17	4374_02-28-17	4471_01-03-17	4489_11-17-15	4546_04-26-16	4582_05-23-17	4657_08-23-16	4759_08-16-16	4913_03-07-17	4954_11-23-16	5160_07-19-16	5287_10-19-16	5338_08-04-17	5432_01-27-16	5600_07-10-17	5702_04-26-16	5890_09-27-16	5913_01-24-17	5975_07-18-17	6037_07-10-18	6070_08-30-17	6100_12-27-16	6673_12-07-16	6753_10-30-18	6995_03-15-16	7005_02-14-18	7551_11-02-16	7660_05-01-18	7768_08-15-17	7786_11-08-16	7953_05-15-18	8012_12-09-15	8118_02-09-16	8120_05-22-18	8158_04-12-16	8186_11-22-16	8344_05-02-17	8507_05-03-16	8633_04-19-16	9059_02-02-16	9120_02-09-16	9176_03-29-16	9190_03-14-18	9371_10-16-18	9591_03-14-17
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0	358.344	569.812	98.8322	0	198.608	401.543	413.69	427.881	0	555.239	441.241	0	436.152	439.665	506.885	282.303	782.922	426.042	520.544	324.767	485.002	486.371	401.858	466.88	512.048	518.241	386.939	329.288	587.743	319.325	522.616	421.601	301.041	601.895	407.631	495.707	364.904	343.379	509.639	462.94	439.27	623.132	254.952	394.348	483.37	535.739	147.508	538.745	453.647	439.735	347.531	340.204	378.889	688.152	480.05	0	903.15	313.893	383.604	505.345	800.916	375.485	324.013	399.173	455.418	375.152	431.676	0	437.836	432.526	698.563
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0	380.951	563.389	762.271	218.732	284.844	395.619	429.352	445.859	0	575.668	489.342	0	432.624	457.508	536.321	288.818	800.7	430.241	531.622	319.216	488.944	497.068	392.008	457.674	533.772	536.351	388.953	328.718	631.961	323.369	527	499.857	302.761	625.682	410.807	505.437	379.163	336.254	508.343	499.173	434.118	622.183	280.274	436.244	490.022	531.85	162.386	521.718	456.783	473.377	365.002	350.17	413.614	708.242	512.157	0	942.685	317.404	457.459	487.308	828.464	376.881	320.422	374.541	487.588	378.807	437.03	0	442.343	432.64	744.061
PWY-6123: inosine-5'-phosphate biosynthesis I	0	339.919	241.872	123.702	232.858	227.447	368.659	384.664	415.607	0	653.335	372.495	0	422.931	406.55	479.369	269.464	589.517	442.386	540.122	373.731	475.514	440.656	405.392	462.242	522.263	478.174	359.681	291.423	500.501	290.458	393.171	367.424	204.111	595.372	296.88	666.942	321.102	381.499	510.306	428.916	417.281	147.463	183.547	410.605	294.969	456.89	130.082	458.253	354.21	417.165	304.675	318.937	332.071	698.286	558.668	0	670.97	262.935	527.191	594.854	762.808	309.195	308.828	61.3447	378.509	204.786	401.131	89.142	391.794	396.87	670.1
PWY-6124: inosine-5'-phosphate biosynthesis II	184.963	307.363	219.558	105.245	206.589	223.441	351.801	369.534	397.487	0	680.219	353.556	0	408.106	391.325	460.19	216.93	568.564	429.324	516.741	363.454	460.838	428.824	384.957	447.46	506.844	463.075	349.826	279.54	373.532	291.652	368.881	338.021	130.785	571.837	242.791	711.505	306.353	369.881	477.832	413.449	401.245	128.054	184.027	393.426	270.277	433.948	129.724	450.738	333.502	382.954	298.425	304.533	327.448	629.076	548.92	88.8463	648.482	249.742	512.368	581.233	779.054	298.429	313.227	52.5356	362.595	186.289	382.5	90.6704	369.644	373.597	647.993
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	0	328.762	21.9286	178.406	0	341.001	332.943	290.114	467.104	0	811.679	392.349	0	293.182	322.508	636.789	359.345	808.347	338.779	565.865	60.4721	422.327	266.743	492.432	334.73	337.283	536.835	251.993	185.9	603.232	151.104	464.993	380.588	331.92	493.551	349.6	718.667	367.711	391.923	19.7587	408.486	298.708	133.592	165.576	403.375	278.744	578.66	318.858	578.951	324.05	673.66	403.778	282.7	410.761	739.08	374.63	0	837.371	399.347	552.295	583.732	596.059	260.084	422.462	0	411.39	133.817	366.493	0	375.123	482.29	441.733
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	268.69	377.068	32.3151	246.577	0	377.694	381.861	332.624	471.921	0	650.161	424.316	0	350.514	378.68	584.36	322.948	888.237	379.797	503.532	93.2981	458.217	358.898	466.918	390.736	396.853	571.118	308.487	224.077	626.082	187.806	527.341	440.481	350.25	557.423	402.138	624.346	369.879	366.472	29.3009	461.937	350.087	187.713	210.038	447.273	343.754	502.965	311.192	507.254	378.041	557.375	454.987	308.371	417.785	758.135	439.141	0	1026.24	429.113	560.405	600.289	709.521	301.789	368.8	0	438.037	176.701	411.275	0	403.45	500.289	534.676
PWY-6138: CMP-N-acetylneuraminate biosynthesis I (eukaryotes)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45001	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6143: CMP-pseudaminate biosynthesis	0	0	0	0	0	0	0	2.68441	0	0	0	0	0	12.0893	0	0	0	0	0	0	0	0	0	0	0	33.7358	0	2.21713	60.7561	0	2.91139	0	0	0	0	0	0	0	0	0	0	46.6634	0	0	0	32.8772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.0841	0	0	0	0	0	0	50.2929	0	0
PWY-6145: superpathway of CMP-sialic acids biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6282	2.2263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.89119	0	0	0	0	0	0	20.5395	0	0	0	8.2773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0	212.239	2.02483	188.291	0	156.762	202.6	328.752	447.235	0	35.4594	323.998	0	286.416	268.415	462.79	88.198	623.351	321.092	519.284	14.219	468.513	146.4	379.174	238.365	406.25	453.382	213.429	286.258	0	205.539	174.691	327.2	0	389.799	310.221	0	309.113	414.841	267.205	311.36	273.098	97.0901	70.3033	222.295	117.846	565.27	86.5384	550.721	307.177	16.3678	58.8938	250.935	337.645	589.532	224.375	0	802.047	0	32.9418	381.269	249.752	268.157	373.375	0	364.147	166.682	242.236	0	355.596	413.998	410.333
PWY-6151: S-adenosyl-L-methionine salvage I	0	432.169	544.153	191.473	211.502	275.159	423.924	461.242	472.526	0	647.709	317.208	0	437.361	432.862	512.261	311.483	689.128	98.2081	0	157.855	389.053	694.404	426.774	309.689	435.239	388.215	390.183	288.467	582.532	231.201	482.293	446.024	292.953	699.863	322.53	569.659	373.844	0	822.664	438.45	352.424	446.813	241.044	267.171	518.862	19.2484	211.499	5.95184	474.462	552.625	499.678	276.627	312.691	813.132	294.965	0	286.573	385.3	22.7707	368.757	862.164	302.859	359.142	441.527	348.073	387.176	411.569	0	440.09	429.654	682.444
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	183.684	333.681	626.061	352.793	0	278.319	434.192	422.331	411.115	0	29.3063	469.003	0	466.486	454.797	523.482	231.46	611.184	413.991	542.916	398.049	483.656	299.939	394.061	438.842	477.008	500.376	416.393	320.657	515.634	287.65	513.833	485.327	185.578	670.754	498.028	133.388	340.994	393.556	695.534	257.676	442.963	583.475	191.962	427.59	492.499	555.455	244.812	510.504	493.751	409.383	305.107	325.169	427.822	542.7	407.399	133.29	436.819	299.394	461.488	459.751	620.703	354.193	422.719	375.895	470.712	384.242	457.585	0	462.661	447.399	220.375
PWY-6168: flavin biosynthesis III (fungi)	0	162.856	234.731	116.631	0	254.1	207.125	283.888	394.288	0	59.4921	312.756	0	291.989	286.285	491.542	189.254	566.73	255.122	379.691	114.295	348.445	100.638	360.394	344.366	354.657	461.124	271.526	156.268	0	309.776	374.924	275.7	246.201	492.847	177.964	152.276	345.808	41.3625	217.442	240.567	256.406	183.589	147.549	344.945	272.654	546.729	166.018	531.852	336.427	395.221	187.374	213.15	306.196	120.789	321.23	0	596.114	68.3105	361.187	381.084	55.6448	205.814	394.573	183.095	343.426	239.727	248.177	0	365.672	378.103	256.331
PWY-6182: superpathway of salicylate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155.472	0	0	0	0	0	0	0	0	5.43089	0.783846	0	0	0	0	0	0	26.7499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6185: 4-methylcatechol degradation (ortho cleavage)	0	0	0	0	0	0	0	0	0	0	0	0	0	2.74516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149.987	0	0	0	0	0	1.82241	0	0	9.62325	1.51018	0	0	0	0	0	0	28.5789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6215: 4-chlorobenzoate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.71964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-622: starch biosynthesis	0	0	0	0	0	0	0	0	0	0	0	12.6898	0	0	0	0	0	0	0	0	0	0	70.8052	0	0	0	0	0	0	0	0	8.44388	0	0	0	0	0	0	0	0	41.0652	0	0	0	0	13.0221	0	0	0	0	0	0	0	125.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.833
PWY-6263: superpathway of menaquinol-8 biosynthesis II	0	0	0	0	0	0	0	0	0	0	9.63924	0	0	0	39.6696	0	0	0	0	0	0	0	0	0	26.509	0	0	6.50281	0	0	4.627	137.961	0	0	0	41.9515	0	0	0	0	30.1761	3.5481	41.7967	0	0	88.3696	6.15089	15.2104	0	0	0	18.1257	0	0	0	0	0	0	0	0	23.5453	0	0	0	0	0	0	31.8287	0	0	0	15.5713
PWY-6269: superpathway of adenosylcobalamin salvage from cobinamide II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.8879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4799	0	0	0	0	0	0	0	0	0	28.1095
PWY-6270: isoprene biosynthesis I	0	0	439.235	399.076	0	169.181	26.9006	191.683	280.396	0	13.9103	344.296	0	305.596	179.516	158.284	0	0	380.367	499.251	263.284	375.015	271.723	176.651	162.907	22.9791	382.405	283.598	264.026	0	235.588	10.9049	311.263	0	296.622	242.916	0	328.352	373.119	16.2944	231.752	338.259	98.8437	101.487	353.156	168.177	475.627	115.59	481.438	104.029	164.968	176.822	246.506	355.829	0	10.6657	0	16.7542	0	476.98	363.196	287.41	311.25	340.648	122.864	333.569	317.17	0	0	234.862	202.199	450.058
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0	380.951	563.389	762.271	218.732	284.844	395.619	429.352	445.859	0	575.668	489.342	0	432.624	457.508	536.321	288.818	800.7	430.241	531.622	319.216	488.944	497.068	392.008	457.674	533.772	536.351	388.953	328.718	631.961	323.369	527	499.857	302.761	625.682	410.807	505.437	379.163	336.254	508.343	499.173	434.118	622.183	280.274	436.244	490.022	531.85	162.386	521.718	456.783	473.377	365.002	350.17	413.614	708.242	512.157	0	942.685	317.404	457.459	487.308	828.464	376.881	320.422	374.541	487.588	378.807	437.03	0	442.343	432.64	744.061
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	156.001	0	3.75175	0	202.387	196.816	103.827	124.148	235.821	0	4.22946	168.399	0	170.587	191.399	178.214	0	0	200.789	0	55.492	120.998	37.2722	262.474	113.07	155.226	237.579	207.13	284.531	0	316.917	184.481	154.383	0	158.393	496.934	48.9257	344.511	0	5.44397	202.712	36.7444	102.499	114.07	158.59	163.905	44.6802	165.83	0	73.28	0	101.461	215.124	120.28	0	99.9108	121.691	22.152	0	20.2372	97.4538	263.974	284.371	7.29612	0	129.447	214.244	29.3726	0	74.1027	195.842	101.541
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	0	0	4.16541	0	0	0	23.0516	0	0	0	0	0	0	16.0603	11.071	0	0	0	0	0	60.6823	0	0	0	0	0	0	38.0685	101.077	0	116.314	0	0	0	24.7245	233.427	53.1207	148.722	0	0	5.27931	0	31.5678	116.488	80.2748	25.0642	49.1651	148.845	0	0	0	105.583	0	0	0	0	0	31.863	0	0	0	277.76	93.145	0	0	0	120.686	0	0	0	0	108.595
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	0	0	0	0	0	0	40.1626	0	0	0	0	0	0	30.1699	21.4678	0	0	0	0	0	0	0	0	0	0	0	0	66.6791	155.117	0	173.753	0	0	0	45.2662	317.764	59.1312	214.137	0	0	10.3274	0	0	67.4813	117.238	0	50.5751	0	0	0	0	91.279	0	0	0	0	0	28.7903	0	0	0	278.976	147.372	0	0	0	163.541	0	0	0	0	94.8444
PWY-6305: superpathway of putrescine biosynthesis	0	0	168.484	0	208.214	186.783	97.8165	31.8774	6.02714	0	12.0544	39.707	0	145.339	155.709	10.8817	0	0	203.332	0	0	61.2099	18.5412	4.52425	89.9318	24.4057	95.7881	213.397	235.795	0	273.67	152.877	54.6241	0	0	429.908	7.07641	235.908	0	136.45	49.6729	31.9201	75.6125	11.2002	132.92	145.313	0	7.91817	0	48.6755	0	41.9709	117.696	100.305	0	0	0	0	0	0	115.673	17.3777	198.648	68.1751	99.0307	29.8641	220.616	102.273	0	56.3389	55.4425	16.3008
"PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.80922	0	0	0	0	0	0	0	0	0	0	5.96646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.33149
"PWY-6309: L-tryptophan degradation XI (mammalian, via kynurenine)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.572288	0	0	0	0	0	0	0	0	0	0	30.4289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0881
PWY-6313: serotonin degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.66156	0	0	0	0	0	0	0	0	0	0	7.86668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5083
PWY-6317: D-galactose degradation I (Leloir pathway)	0	324.342	458.292	0	151.845	0	191.921	56.9307	15.6063	0	523.952	179.818	0	134.704	165.254	11.3793	108.022	0	51.1256	0	335.372	43.7636	272.391	48.9735	103.708	45.9804	135.987	135.828	162.81	510.553	165.531	278.721	79.2726	0	56.3371	235.095	362.801	230.384	0	359.372	197.227	105.637	397.122	96.3006	119.888	304.172	21.4336	27.4696	0	171.806	18.6352	368.418	144.809	136.77	540.915	51.5439	0	119.259	364.185	14.4102	4.43218	542.656	186.481	92.8398	332.092	143.799	367.805	219.1	0	115.355	72.6415	317.33
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)"	0	0	0	0	0	0	2.86474	0	0	0	0	0	0	3.66547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.14494	0	0	0	2.19933	0	0	20.8609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.57571	0	0	0	11.7161	0	0	0	0	0
PWY-6349: CDP-archaeol biosynthesis	0	0	0	0	0	0	1.29464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.689102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6350: archaetidylinositol biosynthesis	0	0	0	0	0	0	1.15207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-6351: D-myo-inositol (1,4,5)-trisphosphate biosynthesis"	139.919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.6322	0	0	0	0.663712	0	0	0	0	0	0	0	0	0	0	21.6608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.185
PWY-6352: 3-phosphoinositide biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.3204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.9513
PWY-6353: purine nucleotides degradation II (aerobic)	0	0	267.942	0	0	0	238.758	89.8244	0	0	0	126.724	0	112.225	151.116	12.1979	82.8355	0	64.1921	0	0	38.9498	11.6863	8.92556	26.7395	31.4775	39.7064	103.444	210.056	0	238.102	227.805	74.2744	0	0	280.379	0	269.153	0	302.276	67.3853	61.4466	185.454	5.43749	70.195	181.724	0	47.8866	0	175.001	0	3.49544	86.3053	62.2255	32.0877	89.9888	0	407.303	0	0	0	59.2601	276.896	88.1844	51.5176	165.512	304.734	117.093	0	157.518	0	292.747
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	0	197.394	582.071	862.948	234.902	293.218	436.137	451.894	444.8	0	560.888	460.847	0	480.535	473.003	520.924	227.649	622.035	450.46	564.096	358.427	495.769	456.379	410.32	464.434	515.719	516.419	436.079	348.567	427.314	334.293	553.977	532.268	0	665.469	427.712	458.717	439.398	380.488	729.702	417.515	469.49	522.162	119.807	453.917	473.057	479.308	192.605	502.18	509.002	459.211	445.567	387.743	427.514	229.398	452.46	0	734.328	295.787	540.281	544.741	688.647	402.989	410.834	329.047	472.941	445.732	489.628	0	477.378	460.283	728.211
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0	374.757	610.023	845.292	180.417	299.207	414.17	442.469	452.636	0	554.966	468.751	0	465.556	468.071	550.956	241.139	711.811	443.015	555.288	362.341	485.958	686.498	398.472	468.995	513.149	522.48	436.973	332.773	467.96	305.156	563.561	523.073	192.07	690.351	399.253	463.327	402.457	375.76	711.923	444.934	439.708	508.374	157.312	457.131	491.469	438.902	215.955	488.051	496.525	507.946	443.141	365.403	427.49	626.342	441.106	0	725.857	326.669	532.934	542.595	708.547	378.671	394.712	313.883	454.922	415.09	478.718	0	462.84	458.42	751.53
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0	363.106	597.867	848.04	219.73	299.708	418.455	436.189	442.443	0	538.668	465.93	0	472.997	466.218	535.964	230.459	639.161	444.56	552.541	356.075	482.471	673.441	397.272	468.591	512.281	519.45	428.212	327.067	438.566	324.531	559.753	521.027	160.151	667.951	423.849	451.638	418.704	370.52	710.132	433.629	460.123	537.859	153.089	461.163	477.011	460.139	215.62	484.217	494.429	487.33	437.152	373.659	422.573	583.793	513.972	0	728.92	309.134	523.705	548.055	684.947	381.159	402.735	315.601	454.431	430.121	474.284	0	459.479	458.317	743.906
"PWY-6396: superpathway of 2,3-butanediol biosynthesis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.4972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.21346	0	5.79184	0	0	0	0	0	0	0	0	71.1432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13069
PWY-6433: hydroxylated fatty acid biosynthesis (plants)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.9199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.2381
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	0	0	213.88	0	0	0	23.4734	0	0	0	131.64	53.1423	0	38.063	55.624	0	190.899	0	0	0	0	0	46.4125	64.988	55.8956	44.5002	43.4582	11.1197	10.329	409.262	22.924	5.19425	42.1108	0	127.163	27.5706	0	0	0	25.7665	11.4977	10.6404	15.4497	0	96.3404	16.4332	13.5935	0	0	11.6966	0	46.6604	0	106.285	0	51.7525	0	0	294.838	21.9147	0	0	50.5401	0	0	29.3435	22.4996	156.441	0	0	0	0
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	0	165.624	375.831	0	0	0	24.1455	150.445	0	0	216.118	53.9426	0	41.2963	168.045	0	207.917	629.87	0	0	195.971	26.0923	295.046	152.487	132.644	44.346	43.5991	80.1196	13.5758	443.22	25.188	352.838	64.6037	0	180.449	257.289	336.475	0	0	165.093	250.28	64.0942	15.8687	21.2818	106.268	329.57	19.6505	0	0	284.763	91.9033	329.093	0	113.148	200.891	159.426	0	347.877	305.258	41.3065	0	617.721	100.146	0	0	40.0486	253.656	229.417	0	41.8189	0	13.6115
PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	21.4107	0	4.38438	0	0	0	198.117	0	28.6328	0	0	0	0	0	0.860573	33.1477	0	1.28325	0	6.0761	0	0	0	0	19.5636	292.119	0	0	10.0045	0	0	1.302	0	0	0	0	0	0	0	5.91555	14.042	0	0	0	0	0	0	10.4926	0	0	40.7435	0	0	0	0	0	26.8508	28.922	0
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	0	185.901	80.017	0	130.947	0	130.267	93.6954	0	0	647.011	50.5402	0	99.5718	37.7533	8.31935	40.6491	0	52.5903	5.21404	0	26.4519	16.1805	15.1009	46.3604	17.6487	12.2833	79.4118	88.8506	0	80.9206	129.617	28.2108	0	148.023	52.9184	390.985	197.418	0	255.171	35.1993	65.6372	97.7847	0	91.7509	111.391	3.30289	1.72705	3.0767	178.967	21.9759	47.0909	50.0471	42.2355	0	47.8325	0	100.333	0	12.161	12.8826	13.0458	77.1652	69.9126	123.354	85.8463	95.9852	107.447	0	93.5995	5.50362	20.5804
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	0	0	3.10802	0	196.579	182.575	115.329	142.437	256.262	0	0	183.417	0	190.02	204.814	202.672	0	0	200.152	0	11.839	137.482	20.7729	276.041	122.745	175.233	259.938	219.765	275.655	0	243.22	135.602	168.215	0	183.457	398.051	0	286.98	0	6.63803	33.5801	43.6447	41.4981	21.0119	164.157	105.489	0	7.69621	0	85.5386	0	12.6048	224.143	135.184	0	109.375	0	0	0	24.6079	109.441	10.8179	294.452	8.84637	0	144.436	202.097	48.2207	0	86.57	210.044	25.1765
PWY-6527: stachyose degradation	0	321.066	547.241	0	0	88.6814	177.876	45.6187	0	0	765.682	138.593	0	100.353	85.4771	10.2121	101.744	0	50.9115	0	283.711	30.1677	402.939	46.7578	84.5327	37.3646	79.9443	78.1636	132.629	409.275	157.222	304.768	45.1412	0	39.7854	328.199	516.193	246.856	0	48.8869	221.527	80.9327	472.035	150.019	84.443	357.233	14.4357	35.912	0	113.857	23.2891	373.049	99.7143	128.578	18.3829	45.9924	0	0	313.53	15.7502	6.33168	219.277	170.482	79.7373	370.175	129.559	375.615	211.783	0	69.4215	38.9512	209.018
PWY-6531: mannitol cycle	0	0	2.05555	0	0	0	27.263	0	0	0	0	0	0	43.4655	45.5543	5.47598	34.9315	0	112.519	0	0	12.5409	0	31.7426	10.2527	0	41.0623	44.1017	88.6626	286.459	114.925	1.07999	0	0	21.9379	313.398	0	110.662	0	0	4.95064	13.3223	20.8261	0	6.12128	8.19096	0	0	0	0	0	0	62.4329	19.7077	0	0	0	0	203.687	4.32509	34.922	0	97.921	0	0	20.0948	162.895	0	0	0	2.95738	0
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	0	0	9.71323	0	0	0	54.0696	0	4.02907	0	54.9712	0	0	39.918	7.91187	0	0	0	0	0	45.0603	0	26.4673	19.0761	0	0	9.68917	68.1875	72.9185	0	24.6261	0	0	0	0	115.674	116.507	8.17237	0	0	65.4768	22.6486	19.7093	0	69.5373	61.3708	0	25.4671	0	8.03684	26.8132	201.398	58.4095	55.6151	0	0	0	0	0	0	30.8563	24.3848	71.882	0	0	10.3453	86.5039	0	0	0	34.8367	127.708
PWY-6549: L-glutamine biosynthesis III	0	0	0	0	0	0	79.3792	0	0	0	0	9.95391	0	48.0851	17.7148	0	0	0	6.47368	0	0	0	14.3641	0	15.1164	0	14.3128	40.2957	51.1257	0	57.5844	45.3302	5.67276	0	0	94.0759	0	67.0413	0	22.0612	30.8891	12.659	36.7417	6.76716	39.2406	32.1931	0	11.3508	0	0	0	113.423	69.1953	26.0016	0	4.77286	0	0	0	0	0	0	85.6513	0	0	0	68.3544	0	0	0	2.30316	60.65
PWY-6562: norspermidine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.5201	0	0	0	0	0	4.00413	0	0	0	6.47103	0	0	0	0	0	0	9.19346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53754
PWY-6572: chondroitin sulfate degradation I (bacterial)	0	0	0	0	0	0	0	0	0	0	0	0	0	66.6909	0	5.85765	0	0	0	355.681	0	50.1776	0	0	0	0	0	6.77234	73.8929	0	2.605	0	0	0	0	0	0	0	0	0	0	34.7006	0	0	23.4219	0	0	0	0	0	0	0	10.7373	12.6574	0	0	0	0	0	0	14.2809	0	0	62.9312	0	0	0	0	0	94.4879	34.3211	0
PWY-6588: pyruvate fermentation to acetone	0	0	148.347	0	0	0	10.5002	32.6649	0	0	0	14.5936	0	17.1655	65.9635	0	0	0	0	0	0	4.47233	13.183	4.2379	42.7744	11.258	6.98982	55.1719	69.5266	0	67.3895	215.216	15.6164	0	0	62.8439	0	48.965	0	33.1069	18.4144	19.9214	118.704	0	26.8558	107.035	0	0	0	74.0933	0	21.2555	2.51737	25.2641	3.54081	44.9345	0	0	0	0	0	17.3715	82.1082	3.50902	0	4.52917	53.2996	59.5321	0	10.6663	0	0
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	0	0	138.978	0	0	0	9.77978	0	0	0	0	5.86936	0	0	59.4135	0	0	0	11.0851	0	0	8.27277	12.9824	0	0	0	28.8821	10.4865	0	0	11.914	0	0	0	0	18.6809	0	0	0	0	27.0531	12.9452	0	0	53.5918	21.6375	0	0	0	0	0	157.215	5.94515	7.15183	0	0	0	0	0	0	0	6.28179	25.888	13.5348	0	6.97503	51.5722	0	0	0	0	17.3392
